Class,Name,Blue,Green,Red,InfraRed,X,Y
1,corn,78,98,97,195,548167.646,3861160.746
1,corn,78,98,100,194,548080.994,3861241.2
1,corn,79,97,99,193,548105.8906,3861201.299
1,corn,82,100,101,191,548100.2318,3861288.683
1,corn,80,97,99,189,548062.7699,3861251.465
1,corn,79,98,97,193,548105.3289,3861240.421
1,corn,81,98,97,193,548075.652,3861169.196
1,corn,79,99,98,200,548145.8373,3861162.767
1,corn,81,99,97,193,548116.5308,3861193.696
1,corn,76,100,106,185,548090.5483,3861330.53
1,corn,82,101,100,200,548067.6525,3861138.164
1,corn,82,99,102,192,548090.1611,3861296.011
1,corn,83,100,99,188,548071.9653,3861299.97
1,corn,79,98,97,191,548109.3346,3861185.42
1,corn,79,98,96,194,548104.5787,3861171.716
1,corn,79,95,95,196,548080.5255,3861160.556
1,corn,79,97,98,188,548076.3321,3861244.105
1,corn,81,105,99,194,548117.602,3861142.614
1,corn,80,94,94,181,548051.4529,3861279.366
1,corn,82,103,98,191,548164.0071,3861143.704
1,corn,83,100,101,192,548044.2007,3861227.75
1,corn,81,74,73,175,548132.1129,3861143.556
1,corn,78,104,100,184,548086.2905,3861331.421
1,corn,78,80,86,178,548093.5453,3861242.118
1,corn,80,99,100,188,548071.0364,3861277.246
1,corn,79,99,98,195,548103.9159,3861176.875
1,corn,83,98,99,196,548057.0373,3861174.481
1,corn,83,100,99,188,548072.3221,3861300.361
1,corn,82,99,100,195,548098.9931,3861288.344
1,corn,79,100,97,195,548140.1871,3861180.086
1,corn,77,99,97,190,548120.7723,3861183.805
1,corn,79,99,98,191,548071.1021,3861255.652
1,corn,81,97,96,193,548099.9607,3861150.85
1,corn,81,97,98,196,548108.1624,3861216.364
1,corn,81,96,96,193,548102.3138,3861149.971
1,corn,97,123,119,207,548079.5826,3861304.81
1,corn,84,105,106,189,548084.3512,3861321.299
1,corn,80,97,98,193,548080.4643,3861233.336
1,corn,81,98,96,187,548057.7715,3861205.863
1,corn,82,101,98,195,548085.8841,3861199.397
1,corn,86,103,103,199,548118.0417,3861155.831
1,corn,80,99,98,195,548148.9927,3861183.559
1,corn,83,100,101,187,548065.6075,3861272.654
1,corn,74,84,89,162,548101.8798,3861331.004
1,corn,83,101,99,198,548112.2626,3861284.977
1,corn,83,100,102,194,548088.434,3861237.72
1,corn,86,105,105,201,548152.5398,3861160.153
1,corn,81,105,97,193,547542.0566,3861253.991
1,corn,84,101,100,186,547473.4731,3861242.387
1,corn,64,47,47,148,547454.4762,3861272.912
1,corn,74,90,94,181,547546.5157,3861238.761
1,corn,93,109,108,194,547477.2509,3861265.384
1,corn,81,120,116,212,547450.5978,3861275.091
1,corn,79,97,100,191,547455.7293,3861244.666
1,corn,83,90,102,176,547551.0789,3861255.715
1,corn,83,102,102,191,547498.7749,3861215.428
1,corn,85,104,102,204,547463.9939,3861246.382
1,corn,82,101,98,187,547467.3915,3861257.309
1,corn,86,100,101,180,547568.0909,3861221.234
1,corn,82,103,104,184,547598.3003,3861212.57
1,corn,96,116,111,189,547543.6265,3861258.756
1,corn,119,132,130,189,547574.9999,3861245.471
1,corn,88,102,103,191,547564.6568,3861208.183
1,corn,85,104,105,185,547490.2343,3861265.221
1,corn,84,105,102,191,547475.2562,3861260.39
1,corn,85,107,108,192,547585.5108,3861214.501
1,corn,60,78,64,144,547577.2843,3861246.495
1,corn,107,122,114,185,547582.5557,3861256.337
